car_make,car_model,car_model_year,car_vin
Chevrolet,Cobalt,2008,1FTMF1C84AK010153
Dodge,Ram Van B250,1994,JTEBU4BF5CK346958
Audi,S4,1994,3GYFNEE39FS627349
Suzuki,Esteem,2001,3D4PG4FB7AT233813
Suzuki,Swift,1987,WAUED64B51N264518
Dodge,Ram Van 3500,2003,WA1MKBFP2AA130041
Dodge,Caliber,2008,2FMGK5BC8BB270956
Lotus,Elise,2004,WBA3C1G53DN766404
Isuzu,i-290,2007,1G6DA5E52C0752502
Chrysler,Concorde,1997,WBAET37445N844752
Maserati,430,1990,WUAAU34289N168025
Audi,A8,2007,4T1BF1FKXFU394125
GMC,Savana 1500,2008,1GYS4NKJ0FR049472
Maserati,GranTurismo,2008,1FTFW1E84AF680316
Lamborghini,Diablo,2000,2D4RN5DG5BR214801
Kia,Sephia,2000,WAUVT64B24N902439
Plymouth,Grand Voyager,1993,TRUTX28NX21154710
Kia,Soul,2012,3D7TT2HT2AG574827
Nissan,GT-R,2012,5J6TF3H52FL136919
Ford,Escape,2006,3GYFK66N04G010758
Geo,Metro,1993,WAUMF68P66A464107
Suzuki,XL-7,2004,3VW1K7AJ2DM202093
Pontiac,Bonneville,2000,1FTEW1C81AK609709
Honda,S2000,2001,JA4AS2AW5DU802761
Toyota,Tacoma,2005,WAUAF78E48A868209
Buick,Riviera,1988,5GADV23L66D704971
Cadillac,STS-V,2006,2C3CA5CG8BH061583
Maserati,Quattroporte,1985,WP0AB2A96BS363546
Audi,TT,2001,2C3CCAGG2CH569983
Chevrolet,Corvette,1989,WAUWGAFB8BN721576
Hyundai,XG300,2001,5NPDH4AEXEH655062
Hummer,H1,1995,WAUEH98E47A992549
Hummer,H1,1996,3C6TD5JT7CG843014
Toyota,Land Cruiser,2008,1FTFW1E80AF257491
Chevrolet,Avalanche 1500,2002,3D7LT2ET5AG127249
Mazda,Mazda6 5-Door,2006,WA1VMAFE8AD064102
Audi,A8,2012,WBA1J9C5XFV265109
Cadillac,Escalade ESV,2004,JM1GJ1T61F1732271
Nissan,Rogue,2011,KNALW4D46F6049805
Nissan,240SX,1994,WAUBF98E08A131959
Scion,xD,2009,JTDZN3EU8D3505942
Chrysler,300,2012,5TDBW5G18DS745200
GMC,Envoy,1998,SCBGT3ZA3FC186047
Jaguar,XJ,2007,JTEBU4BF6AK281096
Buick,LaCrosse,2010,1G4HP54K42U710999
Jeep,Commander,2010,19XFB2F54DE451321
Oldsmobile,Bravada,1998,JN1CV6EK2DM315329
Mazda,Tribute,2002,5GAEV13738J840318
Chevrolet,Equinox,2012,JM1NC2EF0A0009272
GMC,Suburban 1500,1997,WAUMR44E07N931449
Ram,1500,2011,SALCT2BG1FH516459
Ford,Thunderbird,1965,WAUGGBFC8CN262473
Volkswagen,Rabbit,2010,WVGAV7AX4BW894753
Volvo,S40,2005,WAUFGBFB2AN355604
BMW,X6 M,2011,2C3CCAFJ1DH691801
Mitsubishi,Raider,2008,JTHFF2C26E2373880
Audi,80,1989,KMHTC6AD2DU858010
Acura,Integra,1996,3GYFK66N24G917172
Kia,Sportage,1999,1G6DJ8EY7B0641776
Volkswagen,Passat,2001,2HNYD184X2H932669
Chevrolet,Express 3500,2005,1G4HR54K844675901
Dodge,Magnum,2007,JH4CU2F68DC203939
Ford,F-Series,1995,1VWAP7A33EC079958
Infiniti,Q,1999,3D7TT2CT6AG703031
Lamborghini,Diablo,1998,YV1672MC0BJ279480
Buick,Coachbuilder,1993,JTHBP5C25B5091415
Chevrolet,Malibu,1999,1G6AH5RX9D0554317
Toyota,Previa,1992,5TDDK3DCXBS781269
Volkswagen,Golf,2011,WBS3U9C51FJ548369
Dodge,Ram Van B350,1992,5J6TF1H37BL595280
Mitsubishi,Montero,2000,5GAKVAED1BJ451819
Pontiac,Trans Sport,1999,JH4CU2F62BC248713
GMC,Safari,1994,WA1YD54B54N604372
Chevrolet,Equinox,2005,WAUJFAFH8EN254746
Mercedes-Benz,G-Class,2002,5N1AA0NDXFN803886
BMW,X5,2011,JN1CV6AP2DM965702
Nissan,Altima,1995,1G6DH8EG7A0402584
Ford,Freestar,2003,WAUGGBFCXDN727174
Lincoln,MKX,2012,WAUHGAFC4FN764013
GMC,Savana 2500,1997,JTDZN3EU6D3049536
Volkswagen,rio,2002,WBAEN33463E857385
Acura,Integra,1988,NM0KS7AN8AT485040
Chevrolet,Tahoe,2010,5N1AA0NC5AN381011
Kia,Sportage,2007,WBAEW53463P032654
Dodge,Ram 2500,2008,1GYS3FEJ8DR817362
Ford,Tempo,1987,2FMDK3GC1AB574015
Chevrolet,Astro,1996,1FTWX3B59AE965697
Mitsubishi,Montero,1993,WDBWK5EA2BF187792
Ford,Laser,1987,WAULT68EX2A656594
Rolls-Royce,Phantom,2007,WBAGN83554D132964
Bentley,Continental GTC,2011,WDDGF5EB0BA902235
Lincoln,MKX,2013,JTHBK1GG8E2360235
Mitsubishi,Galant,2001,YV126MFB3F2460610
Chrysler,New Yorker,1996,WA1LFAFP5EA553485
GMC,Savana 1500,2006,1G6DG1E3XE0559832
Dodge,Dakota,1999,WBA3C1C55DK749465
GMC,3500,1995,1D4PT5GK4BW435701
GMC,Sierra 2500,2003,WAU3VAFR5BA280325
Buick,Regal,2000,JH4CU2E67BC018389
Buick,Reatta,1989,1G4GA5GR3DF812789
Ford,Fusion,2010,1G6KE54Y75U796370
Cadillac,Seville,1994,SAJWA1CZ4E8611344
Ford,Escort,1995,1VWAS7A31FC290737
Ford,F-Series Super Duty,2009,WAUBF78K39N625690
Porsche,Boxster,2004,1FMCU9E72AK129612
Volkswagen,Passat,1993,WAUUL78E78A745669
Rolls-Royce,Phantom,2006,WBA4B1C56FG726483
Oldsmobile,88,1999,WBAKX6C54BC515807
Mazda,626,1993,2G4GU5GV3C9125114
Lamborghini,Gallardo,2012,WAUEH78E46A603475
Maserati,Spyder,2002,JH4DC53803C741774
Oldsmobile,Aurora,1997,WBAPH5C52BF397882
Pontiac,6000,1984,1GYS3HEF1CR012258
Mercedes-Benz,400E,1992,WAUXU64B72N306309
Chevrolet,Silverado,2002,WAUDH74F38N002662
Buick,Riviera,1988,1N6BF0KL2FN325305
Chevrolet,Camaro,1994,WAULFAFRXAA673703
Lexus,GS,2011,2HKRM3H33DH056308
Toyota,Corolla,1995,SCBBB7ZH4FC038071
Ford,Club Wagon,1992,JM3TB2BAXB0644012
Honda,CR-V,2010,1LNHL9DR2BG212122
Lexus,LS,2006,WBAYP9C54ED219499
Ford,F350,2004,WBAWV1C57AP946143
Saturn,Aura,2007,WBANW135X8C069609
Dodge,Stratus,1997,1LNHL9EK9FG093167
Isuzu,i-Series,2008,WDBSK7AA5CF422655
Dodge,Ram 1500,2000,1N6AA0CC9CN277578
Volkswagen,Eos,2007,1GD12ZCG0BF361221
Kia,Sedona,2006,1G6AH5R31D0055203
Toyota,4Runner,1996,3D73M3CL9AG091927
Kia,Spectra,2005,JTDKN3DU6A0847700
Cadillac,STS,2010,WAUKFBFLXEA924979
GMC,2500,1998,5TDBK3EH7DS543402
Infiniti,G,2001,JH4DC43671S258018
Chrysler,300M,2001,2C3CDYCJXDH007189
Honda,CR-V,2002,WA1UFAFLXDA484373
Honda,Accord,2004,JM1NC2MF3D0433504
Ford,Crown Victoria,1994,1FTSW2A58AE157158
Nissan,Armada,2009,KMHHT6KD5DU180714
Nissan,Maxima,1996,WA1CYAFEXAD255564
Mitsubishi,Pajero,1998,KNALN4D71F5778605
Kia,Optima,2012,WAUFFAFL0EN669683
Pontiac,Trans Sport,1992,KMHDB8AE2BU800214
Toyota,Camry Solara,2007,1N6BF0KX5FN146405
Porsche,928,1987,5UXZV4C51D0072871
Mazda,Mazda6,2007,JA32U2FU8FU845679
Pontiac,G5,2008,YV126MFB3F1909435
Hummer,H1,2006,WAUDFAFLXBN387425
GMC,Envoy XL,2006,2C3CDXFG8FH257527
Chrysler,PT Cruiser,2004,JH4KA96622C822563
Suzuki,Forenza,2006,SCBBP9ZA4BC462974
Dodge,Ram 2500,2010,4T1BD1EB7FU079323
GMC,Savana,2012,4A31K2DF2CE058074
Lotus,Esprit,1986,WBA4A9C53FD905292
Mercedes-Benz,GL-Class,2009,WAUUL98E36A509268
Volvo,XC70,2003,WAUBT48H35K831048
Mercedes-Benz,M-Class,2012,1G6KD57947U165649
Ferrari,430 Scuderia,2009,19UUA9E59EA407373
Isuzu,Rodeo,1997,1G4GA5GR6CF754658
Nissan,Murano,2009,5N1AA0NE2FN225761
Peugeot,207,2006,WBADT33491G304409
Geo,Prizm,1995,JTEBU5JR3B5811722
Mitsubishi,Truck,1992,1N6AF0LY9FN942271
Volkswagen,Golf,1983,JTEBU5JR4A5445882
Buick,Enclave,2012,5UXFA13554L432011
Dodge,Ram 2500,2001,SALME1D42AA446192
Dodge,Ram 2500,1999,1N4AL3AP2EC087064
Toyota,Yaris,2008,JN1CV6EK8EM651598
Chrysler,Concorde,1995,5LMJJ2JT3FE271032
Acura,RL,2007,3C4PDCGB5FT793903
Infiniti,QX56,2008,WBASP4C54BC818610
Toyota,Sienna,2001,WP0AB2A81FK078556
Volvo,S80,2000,WBAKF3C52DJ575536
Bentley,Arnage,2009,19UUA86279A990000
Pontiac,Firebird,1992,1G6AB5SX6D0063487
Kia,Forte,2011,2G4WS55J351209131
Lexus,LS,1995,WBALW3C52EC717247
Volkswagen,Passat,2006,3D7TT2HT2BG041913
Dodge,Viper,2001,WA1LGBFE9BD466801
Toyota,Camry,2009,1C3BCBGG3CN969737
Nissan,Altima,2012,WBA3D3C52EF817496
Hyundai,Veracruz,2007,JTJHY7AX2B4071418
Ford,Explorer Sport Trac,2007,YV1672MK0C2493825
BMW,X5 M,2011,1G6AL5S35E0583904
Chrysler,Town & Country,2003,WBAWV1C56AP187503
Suzuki,Forenza,2004,1FMEU5DE7AU908719
Plymouth,Acclaim,1994,3VW1K7AJ5EM878894
Oldsmobile,Ciera,1995,2G4GX5GV9B9099687
Mercury,Marquis,1986,WDDEJ7KB5CA852357
Toyota,Camry,2008,2G4WC582171509240
Hyundai,Scoupe,1993,3N1AB6AP0BL330498
BMW,X5,2003,1G6DJ577790428100
Chevrolet,Tracker,1998,1FMJK1G53CE451381
Toyota,4Runner,2009,5UMBT93538L206589
Dodge,Challenger,2011,ML32A3HJ3EH609146
Ford,Expedition,2004,1C4RJEAG0DC802730
Toyota,Camry,1994,3D73M3CL4BG751101
Ford,Thunderbird,1991,JN8AZ2KR7CT186225
Lotus,Esprit,2004,WBAFR9C54CD617469
Infiniti,G,2011,1C4SDJCTXDC727188
Infiniti,Q,1997,3GYEK62N44G752405
Nissan,Xterra,2001,2T1BU4EE4DC730854
Suzuki,Swift,1999,WVGEG9BP1CD557539
Ford,F350,1993,1G6AF5SX6D0247624
Chevrolet,Silverado 1500,2007,KNAFU5A28B5670099
Volkswagen,Touareg,2011,1D7RW5GK3BS245589
GMC,Sonoma,1993,WAUHF98PX9A512876
Pontiac,Vibe,2010,2C3CDXJG6CH493421
Land Rover,LR2,2010,WBANN73537B853771
Ford,Escape,2012,1FTEX1CM3BK892898
Ford,Expedition,1999,JH4CU2E64BC560338
BMW,530,2003,5N1AT2ML5EC318676
Oldsmobile,Cutlass Supreme,1993,1G6AB5RA3F0949206
Cadillac,Escalade,2006,1FMCU0C77AK160384
Buick,Century,1985,WA1BV74LX7D395308
Aston Martin,V8 Vantage,2009,1D7RW3GK4AS791918
Hummer,H1,1997,WAUKF78E57A319427
Saab,9-5,2009,SCBET9ZA2F8931139
Nissan,Altima,1996,4T1BB3EK5AU632741
Mercedes-Benz,R-Class,2008,SCFFDAAE9CG772718
Toyota,Tacoma Xtra,2004,WP0CB2A89FS365460
Mazda,626,1991,SCFFDCBD1BG316485
Chrysler,Town & Country,2011,WBA3V5C53EP768554
Ford,Explorer Sport Trac,2006,SAJWA1CB4BL281538
Saab,9000,1993,WAUML44D33N373034
Oldsmobile,Silhouette,2004,1G6KE54Y62U221009
Chevrolet,Metro,2000,WAUAF48H09K446636
Hyundai,Equus,2011,5FRYD4H81EB696674
Cadillac,SRX,2007,2G4WF521831177475
Mercury,Sable,2004,WBAUN1C58CV975513
Chevrolet,Silverado 1500,2004,1N6AA0EJ6FN395989
Lexus,GS,2004,WBAUN1C56AV893731
Audi,A8,2011,KNADM5A38D6684453
Audi,A5,2009,1GT01ZCG9CF632376
Chevrolet,Camaro,1995,WBA3N9C53EK410326
Volkswagen,R32,2009,WAUAFAFH1DN144409
Ford,Explorer Sport Trac,2005,SAJWA4DC3EM041579
Chevrolet,Corvette,1962,JH4CL96995C913956
Pontiac,G6,2008,1D7RW5GK6BS255680
Chevrolet,1500,1998,1G6AE5SXXF0252377
Buick,Park Avenue,2002,1G6DV1EP2D0498550
Hyundai,Accent,2012,1FMCU4K35CK624233
GMC,Yukon XL 2500,2003,WAUUL78E88A778809
BMW,Z3,2001,5NMSG3AB5AH365717
Ford,Probe,1996,1FMJK1JT7FE493662
Lotus,Exige,2007,WAUPEBFM6DA804256
BMW,7 Series,2012,JTDKDTB3XE1171555
Plymouth,Prowler,1999,JTHFF2C20F2948556
Ford,Econoline E150,1993,WBAYA6C55ED229071
Chevrolet,Silverado 2500,2004,1D7RW7GP7AS410209
GMC,2500,1998,3C4PDCGB3ET048968
Rolls-Royce,Phantom,2013,WAUMGBFL2BA655703
Acura,MDX,2009,WAUDV94F97N447507
Toyota,Tacoma,2004,WA1YD64B73N184358
BMW,X3,2008,1FTSW2A58AE294875
Volkswagen,CC,2012,WBA3A5C58CF798132
Ford,Tempo,1988,WBA3B1C5XEK441616
Mitsubishi,Montero,2000,3VW507AT1FM670103
Chevrolet,Cruze,2012,1FTSW2B53AE083095
Chevrolet,Impala,2012,JH4CU2F44CC986013
Lincoln,Navigator,2002,JTHBF1D22F5332153
Dodge,Viper,2004,WA1VYAFE8AD193641
Land Rover,Freelander,2002,2B3CA3CV1AH488313
Kia,Rio,2003,JN8AF5MRXFT255467
Pontiac,Firefly,1989,1FTEW1C8XAF244648
Nissan,Titan,2011,WA1LGBFE3DD471141
GMC,Suburban 1500,1995,WBAYM1C52FD184683
Smart,Fortwo,2009,WBAYF4C52FG249316
Chevrolet,2500,1995,SCFFDAAE9AG087468
Chevrolet,Monte Carlo,1999,5UXFG83578L425722
Hyundai,Sonata,2011,JM1NC2SF6F0362661
Oldsmobile,Cutlass Supreme,1997,4F2CY0C7XAK729966
Buick,LaCrosse,2005,1GD01ZCG3CF214956
Suzuki,XL-7,2008,KMHHT6KD2CU194519
Mazda,Tribute,2008,WBAKG7C58DJ697600
Ford,Thunderbird,1983,WAUDFAFC0DN219456
Ford,Ranger,2000,WBANU5C55AB482885
Ford,Escape,2005,2CTALMEC3B6508774
BMW,325,2006,2G4WD582881800204
Land Rover,Freelander,2010,2G4WB55K241345953
Mitsubishi,Galant,2006,1G6AD5S39E0718797
Isuzu,Hombre,1997,1FTEX1EW1AK014481
Volvo,V70,2004,WAULC58E12A525869
BMW,600,1957,JTHBE5C24A5558988
Ford,E-Series,2009,19XFA1E65BE739921
Land Rover,LR4,2010,WAUAFAFL6CA463802
Toyota,Land Cruiser,2013,WAUEF98E58A455678
Lexus,LX,2011,2G61M5S37F9207550
Ford,E350,2006,1D7RB1CP7BS779040
Nissan,Sentra,1997,WBA1F5C56EV818329
Mitsubishi,Raider,2009,2T2BK1BA0FC407521
Ford,Escort,2001,JM3TB2BA1D0380939
Nissan,240SX,1994,1GKS1FFJ4BR701085
Hyundai,Veracruz,2011,1D7CE2GK9AS698041
Chevrolet,Silverado 3500,2007,1LNHL9EK3FG002037
Audi,A3,2012,1N6AA0CC3DN847091
Suzuki,X-90,1996,1C3CDZAB1EN669589
Volkswagen,Cabriolet,1996,JTEBU4BF5EK459473
Lexus,ES,1993,WA1VFBFL0EA127876
Saab,900,1993,3GYFNAEY3BS352009
Chevrolet,S10,1998,1FTWF3A54AE534740
Dodge,Ram 1500,2008,1N6AA0CC8CN234074
Mitsubishi,Diamante,1994,1FTEX1CM5BK860650
Ford,Mustang,1979,WAUAF68E35A134120
Mazda,Navajo,1991,WAUBNAFB2BN471885
Toyota,Sienna,2003,1FMJU1J57AE527989
Ford,Mustang,1970,WAUJT68E73A431929
Mazda,Mazda5,2008,WAUAFAFH6EN621286
Chevrolet,Caprice,1983,KMHCT4AE0CU950535
Mercury,Topaz,1989,WAUEV74F98N973954
Chrysler,New Yorker,1995,3VWAL7AJ6AM941041
Toyota,Corolla,2003,1GTPCTEX8AZ762728
Mitsubishi,RVR,1992,1G6KD57Y48U516276
Chevrolet,Express 2500,2009,WAUMK78K39A954322
Ford,Club Wagon,1996,4A31K3DT6AE667676
Ford,Bronco,1989,2HNYD28528H099277
Ford,Probe,1990,WBAUP73558V238791
Oldsmobile,Ciera,1996,WBAGN63505D562701
Toyota,Tundra,2010,JN1AZ4EH0CM734704
Mazda,B-Series,2003,JTHBL5EF6D5647682
Chrysler,Aspen,2008,1FTWF3B5XAE913756
Volkswagen,Touareg,2005,1YVHZ8BH7C5459201
Mazda,Tribute,2002,JM3ER2A51B0118487
Jeep,Wrangler,2010,4JGBB2FB0AA890739
Toyota,Tundra,2001,SALFR2BG2FH683795
Foose,Hemisfear,2007,1C4RDHEG8CC556298
Mercedes-Benz,W201,1990,WBANV1C54AC044908
Porsche,Boxster,2007,WBAEW53473P184720
Toyota,Land Cruiser,1993,JN1CV6EK5AM482442
Hyundai,Accent,2005,2C3CDYBT4CH634925
Audi,TT,2005,WAUDFAFL6CN047397
Buick,Verano,2012,5FPYK1F49CB002839
Mitsubishi,Challenger,2001,1N6AF0LX2FN451600
Audi,Allroad,2005,WUADUAFG8CN386984
Chevrolet,Camaro,1977,1G6AC5SX2E0614741
Studebaker,Avanti,1962,JTDKDTB30C1412911
